101,81,75,68
102,42,55,49
103,90,88,92
104,67,71,65
105,33,40,37
106,78,82,79
107,56,63,59
108,95,91,97
109,72,69,74
110,88,85,90
111,49,52,47
112,61,68,64
113,83,77,80
114,99,100,98
115,38,45,41
116,76,70,73
117,54,60,57
118,92,89,94
119,65,73,69
120,80,84,81
121,46,50,44
122,70,66,71
123,97,93,96
124,59,65,61
125,85,81,87
126,36,43,39
127,74,78,75
128,91,86,93
129,51,58,53
130,82,79,84
131,68,72,67
132,43,48,40
133,94,90,95
134,77,80,76
135,50,56,52
136,86,83,89
137,63,69,66
138,98,95,99
139,41,47,42
140,79,74,78
141,89,92,88
142,57,64,58
143,71,67,70
144,93,89,91
145,34,41,36
146,84,80,83
147,60,66,62
148,75,71,73
149,96,94,97
150,48,54,50
151,81,77,80
152,66,70,68
153,53,59,55
154,90,87,91
155,39,46,42
156,78,82,79
157,87,84,88
158,45,51,47
159,72,68,71
160,95,91,94
161,58,65,60
162,83,79,82
163,62,67,64
164,99,97,98
165,37,44,39
166,76,73,75
167,88,85,89
168,51,57,53
169,70,66,69
170,92,88,90
171,40,47,43
172,85,81,84
173,64,70,66
174,79,75,78
175,97,93,96
176,47,53,49
177,82,78,81
178,69,74,71
179,55,61,57
180,94,90,93
181,35,42,38
182,77,72,76
183,91,87,89
184,49,55,51
185,86,83,87
186,61,68,63
187,74,70,73
188,98,95,99
189,52,58,54
190,80,76,79
191,65,71,67
192,93,89,92
193,44,50,46
194,89,85,88
195,73,69,72
196,56,62,58
197,96,92,95
198,38,45,41
199,84,80,83
200,71,67,70
